campaign_id,name,발송수,오픈수,클릭수,전환수,매출합계_원,zero_denom,round_boundary
C001,생일 쿠폰,400,133,33,9,378000,none,Y
C002,VIP 단독혜택,400,129,49,9,495000,none,Y
C003,리뷰 요청,2000,669,120,49,1519000,none,Y
C004,추천인 이벤트,400,49,33,5,440000,none,Y
C005,한정수량 알림,2000,900,245,49,2303000,none,Y
C006,콜라보 출시,400,200,49,9,1080000,none,Y
C007,오프라인 매장초대,0,0,0,0,0,발송0,N
C008,픽업 예약안내,0,0,0,0,0,발송0,N
C009,앱 업데이트,500,0,0,0,0,오픈0,N
C010,주문확인,1200,0,0,0,0,오픈0,N
C011,신규가입 환영,600,115,28,3,201000,none,N
C012,휴면고객 재활성화,900,462,95,21,399000,none,N
C013,장바구니 리마인드,150,76,15,2,116000,none,N
C014,주간 뉴스레터,600,167,37,8,200000,none,N
C015,신상품 입고알림,1100,584,105,9,369000,none,N
C016,VIP 단독혜택,1100,368,95,24,768000,none,N
C017,생일 쿠폰,200,84,13,1,41000,none,N
C018,리뷰 요청,150,43,7,1,32000,none,N
C019,앱 다운로드 유도,750,161,55,17,1139000,none,N
C020,시즌오프 세일,350,97,35,8,328000,none,N
C021,재구매 유도,900,251,52,6,150000,none,N
C022,무료배송 안내,1300,442,163,48,1968000,none,N
C023,멤버십 갱신,250,57,10,2,134000,none,N
C024,웨비나 초대,300,64,17,5,95000,none,N
C025,설문 참여요청,900,281,68,7,406000,none,N
C026,포인트 소멸예정,300,99,23,4,100000,none,N
C027,추천인 이벤트,250,70,26,6,150000,none,N
C028,블랙프라이데이,900,336,50,9,522000,none,N
C029,신년 인사,800,348,70,20,640000,none,N
C030,밸런타인 기획전,600,186,60,11,539000,none,N
C031,여름휴가 특가,150,41,7,2,134000,none,N
C032,백투스쿨,1300,562,187,56,3248000,none,N
C033,추석 선물세트,750,300,36,6,114000,none,N
C034,연말정산 팁,1000,317,126,32,1856000,none,N
C035,구독 만료예정,250,74,27,6,150000,none,N
C036,픽업 예약안내,1300,451,128,13,533000,none,N
C037,오프라인 매장초대,1300,618,147,16,928000,none,N
C038,한정수량 알림,500,234,62,8,200000,none,N
C039,가격인하 소식,300,145,39,5,95000,none,N
C040,콜라보 출시,150,54,13,3,201000,none,N
C041,사용가이드,1000,226,83,17,1139000,none,N
C042,고객만족도 조사,600,221,85,16,656000,none,N
C043,미수령 쿠폰,800,180,66,13,637000,none,N
C044,앱 업데이트,1300,352,96,21,861000,none,N
C045,주문확인,600,196,35,8,656000,none,N
C046,배송완료,1000,228,31,10,410000,none,N
C047,교환반품 안내,300,158,34,6,348000,none,N
C048,위시리스트 할인,300,149,51,12,384000,none,N
C049,첫구매 감사,1300,458,136,20,1160000,none,N
C050,등급상향 축하,500,128,36,8,256000,none,N
