case_id,발주번호,품목코드,품목명,발주수량,발주단가,입고수량차,청구단가차,금액오류,입고누락,계산서누락,품목명표기변형
T0001,PO250001,A1001,A4 복사용지 80g,30,18900,0,0,N,N,N,N
T0002,PO250001,B2001,무선마우스 광학식,5,12800,0,10,N,N,N,N
T0003,PO250002,C3002,LED 모니터 27형,2,219000,0,-10,N,N,N,Y
T0004,PO250003,E5001,토너 카트리지 검정,4,47000,0,5,N,N,N,N
T0005,PO250004,A1002,모나미 볼펜 흑색,100,350,1,0,N,N,N,N
T0006,PO250005,B2003,키보드 기계식,3,78000,-1,0,N,N,N,N
T0007,PO250006,D4001,메쉬 사무의자,10,89000,-10,0,N,N,N,N
T0008,PO250007,F6001,생수 2L 12입,24,7200,0,11,N,N,N,N
T0009,PO250008,C3001,기가비트 공유기,5,64000,0,-11,N,N,N,N
T0010,PO250009,G7001,외장하드 2TB,2,98000,0,200,N,N,N,N
T0011,PO250010,E5002,복합기 A3,1,540000,0,0,Y,N,N,N
T0012,PO250011,B2002,USB허브 4포트,12,9900,0,0,Y,N,N,N
T0013,PO250012,A1003,포스트잇 노랑,50,2400,0,0,N,Y,N,N
T0014,PO250013,D4002,철제 책상 1200,3,132000,0,0,N,N,Y,N
T0015,PO250014,F6003,믹스커피 100T,20,11900,2,15,N,N,N,N
T0016,PO250015,G7002,USB메모리 64GB,30,15900,1,0,N,N,Y,N
T0017,PO250016,C3003,HDMI 케이블 2m,40,4500,0,50,Y,N,N,N
T0018,PO250017,E5003,라벨지 A4,12,8800,3,11,Y,N,N,N
T0019,PO250018,D4003,서랍장 3단,5,54000,0,0,N,Y,N,Y
T0020,PO250019,F6002,종이컵 6.5oz,100,3100,0,0,N,N,N,Y
