item_id,템플릿,유형,감성,충돌주입,충돌상대,경계케이스
E001,auto,환불취소,부정,none,없음,none
E002,auto,환불취소,중립,none,없음,none
E003,auto,환불취소,긍정,none,없음,none
E004,auto,배송문제,부정,none,없음,none
E005,auto,배송문제,중립,none,없음,none
E006,auto,배송문제,부정,none,없음,none
E007,auto,제품불량,부정,none,없음,none
E008,auto,제품불량,부정,none,없음,none
E009,auto,제품불량,중립,none,없음,none
E010,auto,사용법문의,중립,none,없음,none
E011,auto,사용법문의,중립,none,없음,none
E012,auto,사용법문의,긍정,none,없음,none
E013,auto,칭찬감사,긍정,none,없음,none
E014,auto,칭찬감사,긍정,none,없음,none
E015,auto,칭찬감사,중립,none,없음,none
E016,auto,기타,긍정,none,없음,none
E017,auto,기타,부정,none,없음,none
E018,auto,기타,중립,none,없음,none
E019,auto,환불취소,부정,유형충돌,배송문제,none
E020,auto,배송문제,부정,유형충돌,제품불량,none
E021,auto,제품불량,중립,유형충돌,사용법문의,none
E022,auto,사용법문의,중립,유형충돌,칭찬감사,none
E023,auto,제품불량,부정,감성충돌,없음,none
E024,auto,배송문제,부정,감성충돌,없음,none
E025,auto,환불취소,부정,감성충돌,없음,none
E026,auto,기타,중립,none,없음,판별불가
E027,auto,기타,중립,none,없음,판별불가
E028,auto,기타,중립,none,없음,판별불가
E029,auto,환불취소,중립,none,없음,약한신호
E030,auto,배송문제,중립,none,없음,약한신호
E031,auto,제품불량,중립,none,없음,약한신호
E032,auto,사용법문의,중립,none,없음,약한신호
E033,auto,칭찬감사,중립,none,없음,약한신호
