code,name,spec,unit,price
OF-1001,A4 복사용지,80g/㎡ 500매,박스,20800
OF-1002,토너 카트리지,호환 12A 검정,개,41000
OF-1003,모나미 153 볼펜,흑색 12본,갑,10200
OF-1004,스테이플러침,33호 1000개,통,1350
OF-1005,옵티컬마우스,광학식 1600DPI,개,11900
OF-1007,  생수 2L  ,12입 1박스,박스,8900
OF-1008, 종이컵 ,6.5oz 1000입,박스,17900
OF-1010,LED 모니터,27형 FHD,대,210000
OF-1013,믹스커피,100T 1박스,개,12800
OF-1014,A4 라벨지,24칸 100매,박스,9200
OF-1015,포스트잇,51×38mm 노랑,패드,2600
OF-1016,포스트잇,76×76mm 노랑,패드,3500
OF-1017,클립,29mm 100개,통,800
OF-1018,클립,50mm 50개,통,1000
OF-1019,HDMI 케이블,2m v2.0,개,4500
OF-1020,USB 메모리,64GB USB3.1,개,9500
OF-1023,제습제,1kg 3입,세트,3400
OF-1024,물티슈,100매 캡형,통,1900
OF-1025,멀티탭 3구,1.5m,개,5200
OF-1027,보드마카,흑색 12본,갑,8500
OF-1028,데스크매트,800×400,장,15900
OF-1029,노트북스탠드,알루미늄,개,22000
OF-1030,사무용 가위,200mm,개,2300
OF-1031,커터칼,대형 18mm,개,1000
OF-1033,사무용 테이프,48mm×40m,개,1250
OF-1034,박스테이프,투명 50mm,개,1150
OF-1035,우편봉투,소형 100매,박스,6800
OF-1037,바인더,A4 3공 D링,개,5000
OF-1038,형광펜,5색 세트,세트,3600
OF-1039,지우개,미술용 대,개,550
OF-1040,연필,HB 12본,갑,3800
OF-1042,라벨프린터,감열식,대,92000
OF-1043,코팅지,A4 100매,개,5200
OF-1045,명함꽂이,600매 회전식,개,9500
OF-1046,스탬프잉크,흑색 28ml,개,2000
OF-1047,고무밴드,18호 500g,봉,2700
OF-1048, 집게  ,더블클립 25mm 12입,통,1300
